"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"out/21";"set/21";"Competência";"Data de atualização"
"UNIMED DO OESTE DO PARANÁ - COOP. DE TRABALHO MEDICO (305227)";"Médico Hospitalar";"Médio";"182";"157";"   0,40";"   0,81";"   0,81";"   0,82";"0,00";"0,00";"0,00";"   0,42";"   0,43";"   0,86";"   0,43";"   0,87";"202208";"13/09/2022 15:15:14"
"UNIMED DO SUDOESTE COOPERATIVA DE TRABALHO MEDICO LTDA (350371)";"Médico Hospitalar";"Médio";"40";"36";"   6,11";"   7,37";"   7,23";"   8,53";"    8,80";"  10,58";"  11,67";"  11,04";"   8,65";"   6,96";"   7,58";"   8,45";"202208";"13/09/2022 15:15:14"
"UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA. (311715)";"Médico Hospitalar";"Médio";"203";"204";"0,00";"0,00";"0,00";"   0,28";"    0,28";"   0,56";"   0,28";"   0,57";"   0,57";"   0,57";"   0,87";"   0,58";"202208";"13/09/2022 15:15:14"
"UNIMED ERECHIM - COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA. (357022)";"Médico Hospitalar";"Médio";"181";"204";"   0,42";"0,00";"   0,42";"   0,43";"    0,43";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,44";"   0,44";"202208";"13/09/2022 15:15:14"
"UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO (340251)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,82";"   0,82";"   0,83";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO (346209)";"Médico Hospitalar";"Médio";"141";"183";"   0,89";"   0,45";"   0,45";"   0,90";"    0,90";"   0,90";"   1,36";"   1,36";"   1,81";"   0,90";"   1,80";"   1,80";"202208";"13/09/2022 15:15:14"
"UNIMED FEDERAÇAO DO ESTADO DO MATO GROSSO (328031)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"";"202208";"13/09/2022 15:15:14"
"UNIMED FOZ DO IGUACU COOPERATIVA TRABALHO MEDICO (351792)";"Médico Hospitalar";"Médio";"99";"73";"   1,78";"   3,11";"   2,67";"   3,12";"    4,90";"   5,81";"   5,38";"   2,25";"   1,35";"   2,71";"   6,32";"   7,68";"202208";"13/09/2022 15:15:14"
"UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES (354783)";"Médico Hospitalar";"Médio";"111";"124";"   1,40";"   1,40";"   1,06";"   0,83";"    0,84";"   1,91";"   2,05";"   2,06";"   0,98";"   0,98";"   0,86";"   0,99";"202208";"13/09/2022 15:15:14"
"UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO (336858)";"Médico Hospitalar";"Médio";"169";"145";"   0,49";"   0,99";"   1,99";"   2,01";"    1,52";"   1,02";"   0,51";"   1,54";"   1,55";"   2,07";"   2,08";"   3,12";"202208";"13/09/2022 15:15:14"
"UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (352179)";"Médico Hospitalar";"Médio";"146";"186";"   0,83";"   0,42";"   0,42";"   0,42";"    0,42";"   0,85";"   0,85";"   1,28";"   0,86";"   0,86";"   0,43";"   0,43";"202208";"13/09/2022 15:15:14"
"UNIMED FRUTAL COOPERATIVA DE TRABALHO MEDICO LTDA (371564)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   1,11";"   1,13";"    1,16";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO (382876)";"Médico Hospitalar";"Grande";"30";"35";"   5,92";"   6,69";"   6,68";"   6,40";"    5,95";"   7,01";"   6,53";"   6,93";"   6,18";"   7,02";"   6,64";"   7,23";"202208";"13/09/2022 15:15:14"
"UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA. (386588)";"Médico Hospitalar";"Médio";"53";"48";"   4,24";"   6,03";"   6,81";"   8,34";"    7,32";"   7,34";"   6,01";"   5,44";"   4,25";"   4,27";"   4,28";"   4,45";"202208";"13/09/2022 15:15:14"
"UNIMED GRANDE FLORIANÓPOLIS-COOPERATIVA DE TRABALHO MEDICO (360449)";"Médico Hospitalar";"Grande";"33";"29";"   5,60";"   7,65";"   7,96";"  10,78";"   10,67";"  10,78";"   8,83";"   8,97";"   9,80";"  11,47";"  11,51";"  11,09";"202208";"13/09/2022 15:15:14"
"UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO (322571)";"Médico Hospitalar";"Médio";"203";"204";"0,00";"0,00";"0,00";"0,00";"    0,32";"   0,64";"   1,29";"   1,62";"   2,60";"   2,28";"   1,96";"   1,31";"202208";"13/09/2022 15:15:14"
"UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO (318035)";"Médico Hospitalar";"Médio";"133";"174";"   1,00";"   0,52";"0,00";"0,00";"0,00";"0,00";"   1,09";"   2,19";"   2,20";"   2,20";"   1,66";"   2,22";"202208";"13/09/2022 15:15:14"
"UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO (301124)";"Médico Hospitalar";"Pequeno";"149";"160";"   0,96";"   0,97";"   3,89";"   5,87";"    5,89";"   1,97";"   0,99";"   2,97";"   4,97";"   4,00";"   4,01";"   4,01";"202208";"13/09/2022 15:15:14"
"UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA. (304395)";"Médico Hospitalar";"Pequeno";"111";"120";"   2,03";"   2,05";"   0,51";"0,00";"0,00";"0,00";"   0,52";"   0,51";"   1,52";"   1,51";"   2,03";"   2,55";"202208";"13/09/2022 15:15:14"
"UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS (320838)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO (335517)";"Médico Hospitalar";"Médio";"172";"123";"   0,46";"   1,40";"   1,42";"   1,44";"    0,97";"   0,49";"   0,49";"   0,49";"   0,48";"   0,48";"   0,48";"   0,49";"202208";"13/09/2022 15:15:14"
"UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO (322831)";"Médico Hospitalar";"Médio";"180";"204";"   0,42";"0,00";"   0,42";"   0,84";"    0,84";"   0,42";"0,00";"   0,84";"   1,25";"   1,67";"   0,83";"   0,83";"202208";"13/09/2022 15:15:14"
"UNIMED ITAÚNA COOPERATIVA DE TRABALHO MÉDICO LTDA. (356581)";"Médico Hospitalar";"Médio";"145";"129";"   0,85";"   1,31";"   0,45";"   0,90";"    0,45";"   0,45";"   0,45";"   1,37";"   2,75";"   2,32";"   2,81";"   1,43";"202208";"13/09/2022 15:15:14"
"UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA. (301060)";"Médico Hospitalar";"Pequeno";"85";"108";"   3,26";"   2,60";"   1,98";"   0,68";"    0,70";"   1,41";"   2,14";"   2,85";"   3,52";"   2,08";"   2,75";"   2,07";"202208";"13/09/2022 15:15:14"
"UNIMED JOÃO MONLEVADE COOPERATIVA DE TRABALHO MÉDICO LTDA. (352314)";"Médico Hospitalar";"Médio";"203";"204";"0,00";"0,00";"   0,41";"   0,41";"    0,41";"0,00";"0,00";"   0,43";"   0,44";"   0,89";"   0,90";"   1,80";"202208";"13/09/2022 15:15:14"
"UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO (321044)";"Médico Hospitalar";"Grande";"21";"25";"   7,52";"   8,36";"   7,89";"   8,06";"    7,46";"   7,63";"   8,56";"   8,19";"   8,15";"   7,20";"   7,55";"   7,59";"202208";"13/09/2022 15:15:14"
"UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA (306886)";"Médico Hospitalar";"Grande";"64";"62";"   2,44";"   3,02";"   3,08";"   3,07";"    2,76";"   2,83";"   2,62";"   3,07";"   2,71";"   2,94";"   3,18";"   3,70";"202208";"13/09/2022 15:15:14"
"UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO (303267)";"Médico Hospitalar";"Médio";"77";"72";"   2,48";"   3,21";"   3,54";"   3,01";"    2,39";"   2,28";"   2,69";"   3,20";"   2,88";"   2,88";"   2,76";"   3,36";"202208";"13/09/2022 15:15:14"
"UNIMED LAVRAS COOPERATIVA DE TRABALHO MÉDICO (345458)";"Médico Hospitalar";"Médio";"135";"177";"   0,97";"   0,48";"0,00";"   0,49";"    1,46";"   1,95";"   2,44";"   1,46";"   1,46";"   0,49";"   0,49";"   0,48";"202208";"13/09/2022 15:15:14"
"UNIMED LEOPOLDINA COOPERATIVA DE TRABALHO MÉDICO LTDA (386901)";"Médico Hospitalar";"Pequeno";"71";"75";"   4,52";"   4,52";"   3,01";"   3,00";"    3,00";"   1,50";"   1,50";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO (358088)";"Médico Hospitalar";"Médio";"178";"132";"   0,42";"   1,28";"   1,93";"   2,15";"    1,73";"   2,38";"   2,38";"   2,16";"   1,30";"   1,30";"   1,74";"   1,09";"202208";"13/09/2022 15:15:14"
"UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA (303356)";"Médico Hospitalar";"Médio";"139";"147";"   0,93";"   0,95";"   1,09";"   1,67";"    2,23";"   2,37";"   2,08";"   1,53";"   2,24";"   2,52";"   2,68";"   2,28";"202208";"13/09/2022 15:15:14"
"UNIMED LITORAL SUL/RS - COOPERATIVA MÉDICA LTDA. (300136)";"Médico Hospitalar";"Médio";"95";"134";"   1,95";"   1,13";"   0,29";"   0,86";"    0,86";"   0,86";"   0,29";"   0,28";"   0,56";"   0,55";"   0,81";"   0,80";"202208";"13/09/2022 15:15:14"
"UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO (327689)";"Médico Hospitalar";"Grande";"47";"47";"   3,66";"   5,08";"   6,20";"   6,46";"    5,53";"   6,41";"   6,56";"   7,17";"   5,78";"   5,34";"   6,61";"   8,05";"202208";"13/09/2022 15:15:14"
"UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO (354678)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   1,23";"   1,23";"    1,23";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED MARANHÃO DO SUL - COOPERATIVA DE TRABALHO MÉDICO (352543)";"Médico Hospitalar";"Médio";"13";"16";"  13,33";"  14,09";"  12,64";"   6,95";"    3,65";"   6,23";"   5,29";"   7,36";"   6,09";"   8,11";"   7,89";"   8,98";"202208";"13/09/2022 15:15:14"
"UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA. (321087)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"    1,25";"   2,49";"   2,48";"   1,23";"   2,45";"   2,44";"   3,65";"   2,43";"202208";"13/09/2022 15:15:14"
"UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO (301744)";"Médico Hospitalar";"Médio";"203";"204";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,52";"   0,52";"   1,58";"   1,06";"   1,06";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO (318566)";"Médico Hospitalar";"Médio";"63";"55";"   3,37";"   4,78";"   4,77";"   5,73";"    3,83";"   1,92";"   2,39";"   2,87";"   3,82";"   4,30";"   5,72";"   6,18";"202208";"13/09/2022 15:15:14"
"UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (311618)";"Médico Hospitalar";"Médio";"203";"204";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,48";"   0,49";"   0,50";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA. (304051)";"Médico Hospitalar";"Médio";"22";"28";"  10,27";"   9,17";"   9,34";"  11,66";"   14,20";"  15,93";"  15,45";"  14,38";"  17,07";"  21,81";"  23,70";"  21,33";"202208";"13/09/2022 15:15:14"
"UNIMED MORRINHOS COOPERATIVA DE TRABALHO MEDICO (342157)";"Médico Hospitalar";"Pequeno";"92";"186";"   2,95";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED MURIAÉ COOPERATIVA DE TRABALHO MEDICO LTDA (368148)";"Médico Hospitalar";"Pequeno";"89";"90";"   3,19";"   3,19";"   3,19";"   1,06";"    1,06";"   1,05";"   2,11";"   2,10";"   2,09";"   1,04";"   2,08";"   2,08";"202208";"13/09/2022 15:15:14"
"UNIMED NATAL SOC. COOP. DE TRAB. MÉDICO (335592)";"Médico Hospitalar";"Grande";"9";"10";"  10,17";"  11,27";"  10,87";"   9,77";"    8,95";"   8,96";"   9,39";"   8,83";"   9,01";"   8,43";"   9,70";"   9,55";"202208";"13/09/2022 15:15:14"
"UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS (328294)";"Médico Hospitalar";"Médio";"183";"158";"   0,40";"   0,81";"   0,62";"   0,43";"    0,22";"   0,23";"   0,71";"   0,71";"   1,17";"   0,69";"   0,68";"   1,14";"202208";"13/09/2022 15:15:14"
"UNIMED NORDESTE RS SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS LTDA. (325571)";"Médico Hospitalar";"Grande";"84";"83";"   0,71";"   1,07";"   1,08";"   1,39";"    1,22";"   1,04";"   0,68";"   0,63";"   0,59";"   0,77";"   0,87";"   1,37";"202208";"13/09/2022 15:15:14"
"UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO. (371629)";"Médico Hospitalar";"Médio";"105";"128";"   1,53";"   1,34";"   1,15";"   1,53";"    1,34";"   1,54";"   1,35";"   1,35";"   0,96";"   0,96";"   1,35";"   1,35";"202208";"13/09/2022 15:15:14"
"UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA (315494)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,97";"   0,96";"   2,88";"   3,83";"202208";"13/09/2022 15:15:14"
"UNIMED NOROESTE DO PARANÁ COOP DE TRABALHO MÉDICO . (365777)";"Médico Hospitalar";"Pequeno";"84";"82";"   3,31";"   3,93";"   2,83";"   2,85";"    1,72";"   2,88";"   3,47";"   3,51";"   4,13";"   1,79";"   1,79";"   1,20";"202208";"13/09/2022 15:15:14"
"UNIMED NOROESTE FLUMINENSE - COOPERATIVA DE TRABALHO MÉDICO LTDA (360414)";"Médico Hospitalar";"Pequeno";"117";"124";"   1,76";"   1,77";"   1,77";"   0,88";"    0,88";"   2,63";"   2,62";"   3,49";"   2,61";"   3,47";"   4,32";"   3,45";"202208";"13/09/2022 15:15:14"
"UNIMED NOROESTE/RS - SOCIEDADE COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (357260)";"Médico Hospitalar";"Médio";"200";"159";"   0,19";"   0,78";"   0,98";"   0,98";"    0,39";"   0,20";"   0,39";"   0,59";"   0,59";"   0,59";"   0,59";"   0,40";"202208";"13/09/2022 15:15:14"
"UNIMED NORTE CAPIXABA- COOPERATIVA DE TRABALHO MÉDICO (371777)";"Médico Hospitalar";"Médio";"84";"91";"   2,26";"   2,28";"   3,07";"   2,59";"    1,83";"   1,32";"   1,33";"   2,70";"   2,45";"   2,19";"   1,64";"   1,63";"202208";"13/09/2022 15:15:14"
"UNIMED NORTE DO MATO GROSSO COOPERATIVA DE TRABALHO MÉDICO (353663)";"Médico Hospitalar";"Médio";"103";"80";"   1,63";"   2,91";"   2,56";"   2,71";"    2,46";"   2,48";"   2,62";"   1,98";"   2,92";"   2,94";"   3,63";"   3,37";"202208";"13/09/2022 15:15:14"
"UNIMED NORTE DO PARANÁ COOPERATIVA REGIONAL DE TRABALHO MÉDICO (358282)";"Médico Hospitalar";"Pequeno";"135";"139";"   1,32";"   1,32";"0,00";"0,00";"0,00";"   1,33";"   1,33";"   1,34";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO (312592)";"Médico Hospitalar";"Pequeno";"58";"55";"   6,57";"   7,11";"   6,03";"   2,20";"    3,32";"   4,44";"   5,54";"   3,87";"   2,76";"   1,65";"   1,64";"   1,09";"202208";"13/09/2022 15:15:14"
"UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO (323055)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   0,54";"   0,54";"    0,54";"   0,54";"   1,63";"   1,64";"   1,09";"   0,55";"   0,55";"   1,09";"202208";"13/09/2022 15:15:14"
"UNIMED NORTE PIONEIRO - COOPERATIVA DE TRABALHO MÉDICO (366064)";"Médico Hospitalar";"Pequeno";"98";"79";"   2,70";"   4,06";"   2,72";"   2,73";"    2,06";"   1,38";"   1,39";"   1,39";"   1,40";"   0,70";"   1,39";"   1,38";"202208";"13/09/2022 15:15:14"
"UNIMED NORTE/NORDESTE-FEDERAÇÃO INTERFEDERATIVA DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO EM RECUPERAÇÃO JUDICIAL (324213)";"Médico Hospitalar";"Pequeno";"5";"6";" 114,67";" 133,54";" 153,96";" 278,10";"  282,25";" 298,39";" 183,97";" 269,75";" 328,27";" 407,81";" 394,65";" 372,86";"202208";"13/09/2022 15:15:14"
"UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA. (335479)";"Médico Hospitalar";"Médio";"21";"12";"  10,76";"  15,07";"  18,89";"  17,95";"   14,70";"  10,91";"  11,33";"  13,55";"  14,02";"  15,03";"  13,41";"  11,70";"202208";"13/09/2022 15:15:14"
"UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO (344397)";"Médico Hospitalar";"Médio";"57";"58";"   3,95";"   4,62";"   5,11";"   4,57";"    4,54";"   4,86";"   5,02";"   4,84";"   5,49";"   7,27";"   7,06";"   7,66";"202208";"13/09/2022 15:15:14"
"UNIMED OESTE DO PARÁ - COOPERATIVA DE TRABALHO MÉDICO (362140)";"Médico Hospitalar";"Médio";"24";"23";"   9,25";"  11,80";"  10,34";"   7,00";"    5,93";"   6,72";"   8,26";"   8,85";"   8,71";"   7,56";"   7,92";"   8,04";"202208";"13/09/2022 15:15:14"
"UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO (309907)";"Médico Hospitalar";"Médio";"140";"86";"   0,92";"   2,75";"   3,72";"   4,03";"    2,55";"   2,19";"   2,18";"   2,12";"   2,12";"   2,12";"   1,81";"   1,80";"202208";"13/09/2022 15:15:14"
"UNIMED PALMEIRA DOS ÍNDIOS COOPERATIVA DE TRABALHO MÉDICO (369233)";"Médico Hospitalar";"Pequeno";"114";"186";"   1,85";"0,00";"   1,84";"   1,84";"    3,68";"   1,84";"   1,83";"0,00";"0,00";"0,00";"0,00";"   1,81";"202208";"13/09/2022 15:15:14"
"UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA. (304344)";"Médico Hospitalar";"Médio";"115";"130";"   1,29";"   1,30";"   0,87";"0,00";"0,00";"   0,44";"   0,44";"   0,44";"   1,31";"   2,19";"   2,20";"   1,32";"202208";"13/09/2022 15:15:14"
"UNIMED PARAIBA - FEDERAÇAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO (324523)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"   31,02";"  30,93";"  30,86";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED PATO BRANCO COOPERATIVA DE TRABALHO MEDICO (370681)";"Médico Hospitalar";"Médio";"197";"201";"   0,22";"   0,22";"   0,22";"   0,22";"    0,22";"0,00";"0,00";"0,00";"   0,21";"   0,21";"   0,21";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED PATOS - COOPERATIVA DE TRABALHO MÉDICO (336467)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"   4,34";"    4,34";"   4,33";"0,00";"0,00";"0,00";"   4,29";"  12,84";"  12,82";"202208";"13/09/2022 15:15:14"
"UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO LTDA. (353060)";"Médico Hospitalar";"Médio";"68";"67";"   3,12";"   3,72";"   4,12";"   3,41";"    1,72";"   1,56";"   3,17";"   3,05";"   3,11";"   1,89";"   3,18";"   3,63";"202208";"13/09/2022 15:15:14"
"UNIMED PATROCÍNIO COOPERATIVA DE TRABALHO MÉDICO LTDA. (355593)";"Médico Hospitalar";"Pequeno";"115";"121";"   1,84";"   1,85";"   1,86";"0,00";"    1,88";"   2,82";"   3,78";"   2,85";"   2,86";"   1,91";"   0,96";"   0,96";"202208";"13/09/2022 15:15:14"
"UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (311375)";"Médico Hospitalar";"Médio";"71";"76";"   2,75";"   3,05";"   2,44";"   3,05";"    3,96";"   4,57";"   3,66";"   3,05";"   3,68";"   4,00";"   4,01";"   3,39";"202208";"13/09/2022 15:15:14"
"UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO (323993)";"Médico Hospitalar";"Médio";"76";"88";"   2,54";"   2,53";"   3,24";"   3,95";"    5,01";"   4,63";"   2,84";"   2,12";"   1,06";"   2,12";"   2,12";"   2,47";"202208";"13/09/2022 15:15:14"
"UNIMED PLANALTO CENTRAL/RS - COOPERATIVA DE ASSISTÊNCIA  À SAÚDE LTDA. (362832)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,83";"   2,84";"   2,88";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED PLANALTO MÉDIO- COOPERATIVA DE SERVIÇOS MÉDICOS LTDA (319384)";"Médico Hospitalar";"Médio";"193";"196";"   0,29";"   0,30";"   0,60";"   0,60";"    0,30";"   1,20";"   1,20";"   1,81";"   1,20";"   1,50";"   1,51";"   0,91";"202208";"13/09/2022 15:15:14"
"UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS (316148)";"Médico Hospitalar";"Médio";"126";"154";"   1,08";"   0,81";"   1,10";"   1,11";"    1,11";"   1,40";"   1,96";"   1,98";"   1,42";"   1,14";"   1,43";"   1,15";"202208";"13/09/2022 15:15:14"
"UNIMED PONTA GROSSA COOPERATIVA DE TRABALHO MEDICO (349712)";"Médico Hospitalar";"Médio";"119";"153";"   1,18";"   0,85";"   0,73";"   1,36";"    1,24";"   2,00";"   1,63";"   1,52";"   0,63";"   0,76";"   0,89";"   1,02";"202208";"13/09/2022 15:15:14"
"UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO (353876)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,61";"   1,77";"   1,90";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA (343722)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,10";"   4,22";"   4,23";"202208";"13/09/2022 15:15:14"
"UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA. (352501)";"Médico Hospitalar";"Grande";"79";"76";"   1,25";"   1,50";"   1,42";"   1,42";"    1,38";"   1,54";"   1,45";"   1,27";"   1,35";"   1,50";"   1,76";"   1,64";"202208";"13/09/2022 15:15:14"
"UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA (337374)";"Médico Hospitalar";"Médio";"47";"59";"   4,85";"   4,61";"   4,39";"   3,43";"    3,92";"   5,15";"   7,37";"   7,10";"   5,37";"   4,13";"   4,94";"   4,90";"202208";"13/09/2022 15:15:14"
"UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO (344885)";"Médico Hospitalar";"Grande";"8";"6";"  10,49";"  12,91";"  11,71";"  12,74";"   11,58";"  13,96";"  13,07";"  13,26";"  13,46";"  15,51";"  16,80";"  15,54";"202208";"13/09/2022 15:15:14"
"UNIMED REGIÃO DA CAMPANHA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (350648)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"    1,95";"   1,95";"   3,92";"   1,95";"   3,91";"   1,95";"   1,95";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (328375)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA (353698)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO (311847)";"Médico Hospitalar";"Médio";"187";"144";"   0,37";"   0,99";"   1,36";"   1,48";"    0,99";"   0,87";"   0,62";"   1,36";"   0,99";"   1,35";"   1,10";"   1,47";"202208";"13/09/2022 15:15:14"
"UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO  (306100)";"Médico Hospitalar";"Médio";"159";"141";"   0,67";"   1,01";"   1,69";"   1,70";"    1,71";"   0,68";"   0,68";"   1,03";"   2,05";"   1,71";"   1,03";"   0,34";"202208";"13/09/2022 15:15:14"
"UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO (316458)";"Médico Hospitalar";"Pequeno";"48";"23";"   7,36";"  29,82";"  27,59";"  22,74";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,58";"   2,59";"202208";"13/09/2022 15:15:14"
"UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO (313475)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
